ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-09-29 00:04:16.828343+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:04:17.263217+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,428,
2025-09-29 00:04:25.641371+00:00,pattern_vrect,,,,,,,,head_shoulders,2025-09-26 00:30:00+09:00,2025-09-26 06:00:00+09:00
2025-09-29 00:11:57.736400+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:11:58.264036+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:11:59.016776+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,721,
2025-09-29 00:12:08.364467+00:00,pattern_vrect,,,,,,,,head_shoulders,2025-09-26 00:30:00+09:00,2025-09-26 06:00:00+09:00
2025-09-29 00:16:51.209572+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:16:52.022826+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:16:52.445815+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,415,
2025-09-29 00:16:59.845214+00:00,pattern_vrect,,,,,,,,head_shoulders,2025-09-26 00:30:00+09:00,2025-09-26 06:00:00+09:00
2025-09-29 00:22:14.091584+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:22:14.974425+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:22:15.439777+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,459,
2025-09-29 00:22:23.442478+00:00,pattern_vrect,,,,,,,,head_shoulders,2025-09-26 00:30:00+09:00,2025-09-26 06:00:00+09:00
2025-09-29 00:30:35.425998+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:30:36.407600+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:30:37.022448+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,609,
2025-09-29 00:30:46.083718+00:00,pattern_vrect,,,,,,,,head_shoulders,2025-09-26 00:30:00+09:00,2025-09-26 06:00:00+09:00
2025-09-29 00:43:42.482116+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:43:43.433028+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:43:44.006975+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,565,
2025-09-29 00:43:53.371097+00:00,pattern_vrect,,,,,,,,head_shoulders,2025-09-26 00:30:00+09:00,2025-09-26 06:00:00+09:00
2025-09-29 00:45:15.973114+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:45:16.547155+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:45:17.013920+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,237,
2025-09-29 00:45:26.941109+00:00,pattern_vrect,,,,,,,,head_shoulders,2025-09-26 00:30:00+09:00,2025-09-26 06:00:00+09:00
2025-09-29 00:53:28.774561+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:53:29.564757+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:53:29.788606+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,217,
2025-09-29 00:53:38.686003+00:00,pattern_vrect,,,,,,,,head_shoulders,2025-09-26 00:30:00+09:00,2025-09-26 06:00:00+09:00
2025-09-29 00:57:28.300937+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:57:29.188036+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 00:57:29.378003+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,184,
2025-09-29 00:57:39.571151+00:00,pattern_vrect,,,,,,,,head_shoulders,2025-09-26 00:30:00+09:00,2025-09-26 06:00:00+09:00
2025-09-29 01:02:19.169767+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
