lookback,n_push,min_flag_bars,max_flag_bars,sigma_k,pole_min_atr,flag_slope_max_atr,contraction_percentile,n_signals,hit_rate,ev_R
1000,24,8,32,1.2,2.5,0.08,0.1,217,0.4700460829493088,-0.12608219463916065
1000,24,8,32,1.2,2.5,0.08,0.15,217,0.4700460829493088,-0.12608219463916065
1000,24,8,32,1.2,2.5,0.1,0.1,228,0.47368421052631576,-0.1146172442005837
1000,24,8,32,1.2,2.5,0.1,0.15,228,0.47368421052631576,-0.1146172442005837
1000,24,8,32,1.2,3.0,0.08,0.1,178,0.5056179775280899,-0.05454631003984852
1000,24,8,32,1.2,3.0,0.08,0.15,178,0.5056179775280899,-0.05454631003984852
1000,24,8,32,1.2,3.0,0.1,0.1,187,0.49732620320855614,-0.06605173310929562
1000,24,8,32,1.2,3.0,0.1,0.15,187,0.49732620320855614,-0.06605173310929562
1000,24,8,32,1.2,3.5,0.08,0.1,154,0.5,-0.06969202421401688
1000,24,8,32,1.2,3.5,0.08,0.15,154,0.5,-0.06969202421401688
1000,24,8,32,1.2,3.5,0.1,0.1,162,0.5123456790123457,-0.03876828950447957
1000,24,8,32,1.2,3.5,0.1,0.15,162,0.5123456790123457,-0.03876828950447957
1000,24,8,40,1.2,2.5,0.08,0.1,229,0.4890829694323144,-0.08936038039028235
1000,24,8,40,1.2,2.5,0.08,0.15,229,0.4890829694323144,-0.08936038039028235
1000,24,8,40,1.2,2.5,0.1,0.1,235,0.48936170212765956,-0.084209670508472
1000,24,8,40,1.2,2.5,0.1,0.15,235,0.48936170212765956,-0.084209670508472
1000,24,8,40,1.2,3.0,0.08,0.1,189,0.5291005291005291,-0.009180474196296144
1000,24,8,40,1.2,3.0,0.08,0.15,189,0.5291005291005291,-0.009180474196296144
1000,24,8,40,1.2,3.0,0.1,0.1,194,0.5154639175257731,-0.030970180325753164
1000,24,8,40,1.2,3.0,0.1,0.15,194,0.5154639175257731,-0.030970180325753164
1000,24,8,40,1.2,3.5,0.08,0.1,164,0.5304878048780488,-0.01024764468472975
1000,24,8,40,1.2,3.5,0.08,0.15,164,0.5304878048780488,-0.01024764468472975
1000,24,8,40,1.2,3.5,0.1,0.1,169,0.5325443786982249,0.00037275863027500146
1000,24,8,40,1.2,3.5,0.1,0.15,169,0.5325443786982249,0.00037275863027500146
1000,30,8,32,1.2,2.5,0.08,0.1,260,0.4846153846153846,-0.1199622184548831
1000,30,8,32,1.2,2.5,0.08,0.15,260,0.4846153846153846,-0.1199622184548831
1000,30,8,32,1.2,2.5,0.1,0.1,273,0.4908424908424908,-0.10527647902642294
1000,30,8,32,1.2,2.5,0.1,0.15,273,0.4908424908424908,-0.10527647902642294
1000,30,8,32,1.2,3.0,0.08,0.1,221,0.4841628959276018,-0.1196979128591141
1000,30,8,32,1.2,3.0,0.08,0.15,221,0.4841628959276018,-0.1196979128591141
1000,30,8,32,1.2,3.0,0.1,0.1,233,0.4978540772532189,-0.08971936520428067
1000,30,8,32,1.2,3.0,0.1,0.15,233,0.4978540772532189,-0.08971936520428067
1000,30,8,32,1.2,3.5,0.08,0.1,194,0.4742268041237113,-0.13782657134682094
1000,30,8,32,1.2,3.5,0.08,0.15,194,0.4742268041237113,-0.13782657134682094
1000,30,8,32,1.2,3.5,0.1,0.1,205,0.5024390243902439,-0.07826136909107176
1000,30,8,32,1.2,3.5,0.1,0.15,205,0.5024390243902439,-0.07826136909107176
1000,30,8,40,1.2,2.5,0.08,0.1,274,0.5072992700729927,-0.07488212461076085
1000,30,8,40,1.2,2.5,0.08,0.15,274,0.5072992700729927,-0.07488212461076085
1000,30,8,40,1.2,2.5,0.1,0.1,280,0.5035714285714286,-0.08007815820273718
1000,30,8,40,1.2,2.5,0.1,0.15,280,0.5035714285714286,-0.08007815820273718
1000,30,8,40,1.2,3.0,0.08,0.1,234,0.5128205128205128,-0.06283307542851806
1000,30,8,40,1.2,3.0,0.08,0.15,234,0.5128205128205128,-0.06283307542851806
1000,30,8,40,1.2,3.0,0.1,0.1,240,0.5125,-0.06077507339645978
1000,30,8,40,1.2,3.0,0.1,0.15,240,0.5125,-0.06077507339645978
1000,30,8,40,1.2,3.5,0.08,0.1,207,0.5072463768115942,-0.0724060664236342
1000,30,8,40,1.2,3.5,0.08,0.15,207,0.5072463768115942,-0.0724060664236342
1000,30,8,40,1.2,3.5,0.1,0.1,212,0.5188679245283019,-0.045872576350106886
1000,30,8,40,1.2,3.5,0.1,0.15,212,0.5188679245283019,-0.045872576350106886
1000,36,8,32,1.2,2.5,0.08,0.1,327,0.4740061162079511,-0.1382521765330782
1000,36,8,32,1.2,2.5,0.08,0.15,327,0.4740061162079511,-0.1382521765330782
1000,36,8,32,1.2,2.5,0.1,0.1,343,0.4956268221574344,-0.09982985930067585
1000,36,8,32,1.2,2.5,0.1,0.15,343,0.4956268221574344,-0.09982985930067585
1000,36,8,32,1.2,3.0,0.08,0.1,269,0.4944237918215613,-0.09354728396821727
1000,36,8,32,1.2,3.0,0.08,0.15,269,0.4944237918215613,-0.09354728396821727
1000,36,8,32,1.2,3.0,0.1,0.1,283,0.5159010600706714,-0.05650785366073108
1000,36,8,32,1.2,3.0,0.1,0.15,283,0.5159010600706714,-0.05650785366073108
1000,36,8,32,1.2,3.5,0.08,0.1,248,0.49193548387096775,-0.09733475510204166
1000,36,8,32,1.2,3.5,0.08,0.15,248,0.49193548387096775,-0.09733475510204166
1000,36,8,32,1.2,3.5,0.1,0.1,262,0.5229007633587787,-0.04192574236737201
1000,36,8,32,1.2,3.5,0.1,0.15,262,0.5229007633587787,-0.04192574236737201
1000,36,8,40,1.2,2.5,0.08,0.1,344,0.49709302325581395,-0.09254188023060923
1000,36,8,40,1.2,2.5,0.08,0.15,344,0.49709302325581395,-0.09254188023060923
1000,36,8,40,1.2,2.5,0.1,0.1,352,0.5056818181818182,-0.07985671321585326
1000,36,8,40,1.2,2.5,0.1,0.15,352,0.5056818181818182,-0.07985671321585326
1000,36,8,40,1.2,3.0,0.08,0.1,283,0.519434628975265,-0.04421693829860127
1000,36,8,40,1.2,3.0,0.08,0.15,283,0.519434628975265,-0.04421693829860127
1000,36,8,40,1.2,3.0,0.1,0.1,290,0.5275862068965518,-0.03338740075352023
1000,36,8,40,1.2,3.0,0.1,0.15,290,0.5275862068965518,-0.03338740075352023
1000,36,8,40,1.2,3.5,0.08,0.1,261,0.5172413793103449,-0.04746636081883273
1000,36,8,40,1.2,3.5,0.08,0.15,261,0.5172413793103449,-0.04746636081883273
1000,36,8,40,1.2,3.5,0.1,0.1,268,0.5335820895522388,-0.02080483167962958
1000,36,8,40,1.2,3.5,0.1,0.15,268,0.5335820895522388,-0.02080483167962958
