H,delta_mult,session,EV_net,n_signals,hit_rate,hit_rate_ci_lo,hit_rate_ci_hi,evcurve_q,evcurve_quality_thr,evcurve_n,evcurve_EV_net,out_dir
8,0.4,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H8_dm0.4_London
8,0.45,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H8_dm0.45_London
8,0.5,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H8_dm0.5_London
8,0.55,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H8_dm0.55_London
8,0.6,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H8_dm0.6_London
8,0.65,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H8_dm0.65_London
8,0.7,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H8_dm0.7_London
8,0.75,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H8_dm0.75_London
12,0.4,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H12_dm0.4_London
12,0.45,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H12_dm0.45_London
12,0.5,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H12_dm0.5_London
12,0.55,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H12_dm0.55_London
12,0.6,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H12_dm0.6_London
12,0.65,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H12_dm0.65_London
12,0.7,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H12_dm0.7_London
12,0.75,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H12_dm0.75_London
16,0.4,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H16_dm0.4_London
16,0.45,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H16_dm0.45_London
16,0.5,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H16_dm0.5_London
16,0.55,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H16_dm0.55_London
16,0.6,London,0.8657003732180737,1,1.0,0.20654329147389294,1.0,,,,,reports\patterns_grid_20251026_asia_box\H16_dm0.6_London
