H,delta_mult,session,EV_net,n_signals,hit_rate,hit_rate_ci_lo,hit_rate_ci_hi,evcurve_q,evcurve_quality_thr,evcurve_n,evcurve_EV_net,out_dir
8,0.4,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H8_dm0.4_London
8,0.45,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H8_dm0.45_London
8,0.5,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H8_dm0.5_London
8,0.55,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H8_dm0.55_London
8,0.6,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H8_dm0.6_London
8,0.65,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H8_dm0.65_London
8,0.7,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H8_dm0.7_London
8,0.75,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H8_dm0.75_London
12,0.4,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H12_dm0.4_London
12,0.45,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H12_dm0.45_London
12,0.5,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H12_dm0.5_London
12,0.55,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H12_dm0.55_London
12,0.6,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H12_dm0.6_London
12,0.65,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H12_dm0.65_London
12,0.7,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H12_dm0.7_London
12,0.75,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H12_dm0.75_London
16,0.4,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H16_dm0.4_London
16,0.45,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H16_dm0.45_London
16,0.5,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H16_dm0.5_London
16,0.55,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H16_dm0.55_London
16,0.6,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H16_dm0.6_London
16,0.65,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H16_dm0.65_London
16,0.7,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H16_dm0.7_London
16,0.75,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H16_dm0.75_London
20,0.4,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H20_dm0.4_London
20,0.45,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H20_dm0.45_London
20,0.5,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H20_dm0.5_London
20,0.55,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H20_dm0.55_London
20,0.6,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H20_dm0.6_London
20,0.65,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H20_dm0.65_London
20,0.7,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H20_dm0.7_London
20,0.75,London,0.4987099993840986,5,0.8,0.3755282641185388,0.9637768390302125,,,,,reports\patterns_grid_20251026_rectangle\H20_dm0.75_London
8,0.4,NewYork,-0.3046343403533493,6,0.3333333333333333,0.09676933255921683,0.7000116786584712,,,,,reports\patterns_grid_20251026_rectangle\H8_dm0.4_NewYork
8,0.45,NewYork,-0.3046343403533493,6,0.3333333333333333,0.09676933255921683,0.7000116786584712,,,,,reports\patterns_grid_20251026_rectangle\H8_dm0.45_NewYork
8,0.5,NewYork,-0.3046343403533493,6,0.3333333333333333,0.09676933255921683,0.7000116786584712,,,,,reports\patterns_grid_20251026_rectangle\H8_dm0.5_NewYork
8,0.55,NewYork,-0.3046343403533493,6,0.3333333333333333,0.09676933255921683,0.7000116786584712,,,,,reports\patterns_grid_20251026_rectangle\H8_dm0.55_NewYork
8,0.6,NewYork,-0.3046343403533493,6,0.3333333333333333,0.09676933255921683,0.7000116786584712,,,,,reports\patterns_grid_20251026_rectangle\H8_dm0.6_NewYork
8,0.65,NewYork,-0.3046343403533493,6,0.3333333333333333,0.09676933255921683,0.7000116786584712,,,,,reports\patterns_grid_20251026_rectangle\H8_dm0.65_NewYork
